Image Master File,New file,Group
https://cdn.amplifi.pattern.com/7ed0e61c-3824-4f34-9acc-aa634eba29d5,S4WR046323_BRIGHT AQUA_Swatch_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/8c1a92dc-e558-4d89-a683-6af7da381b8e,S4WR045964_JF BLACK_Swatch_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/c2df872d-00d0-4b4a-8570-a72a4ba45533,S4WR044494_WHITE_On Figure_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/c8f5b269-3ae2-4e47-8aec-f6cfeee17a8a,S4WR044496_DK. AQUA_On Figure_Rear-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/aa834e76-20f0-48fe-a2a0-fd55c1933e9f,S4WR044505_BRIGHT YELLOW_On Figure_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/0d453395-d99e-4c00-a1e0-f3f2b5a05a9a,S4WR044496_WHITE_On Figure_Rear-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/1a12709c-1e7d-4b07-ad25-ec414fd28db6,S4WR044596_DK. AQUA_On Figure_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/bd1dbf4b-c52d-482a-9481-440c30b0c5c2,S4WR044496_WHITE_Lay Down_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/4385dde0-21fd-4fea-8e84-ad9988740d4e,S4WR046335_BRIGHT AQUA_Lay Down_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/664cf78a-526d-450b-a738-5d4b7cb573dd,S4WR044599_DK. AQUA_Lay Down_Forward-facing_Spring 1 Women 2024.tif,forskye
https://cdn.amplifi.pattern.com/dc68f239-8648-490f-a9e2-58c656a41539,U3MR037643_NAVY_On Figure_Rear-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/99ed143f-d3d9-4767-a8b3-3742b186592b,U3MR035045_LT. YELLOW_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/b90c6dd2-e436-4914-b347-48c63c72ed84,U3MR037709_BLUE_Swatch_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/e1ea51b8-f3a2-4511-b4bd-9e98b41734f9,U3MR035059_NAVY_Swatch_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/7fb0c991-818d-4a42-ba68-cd3aa9cc0c4c,U3MR037819_YELLOW_On Figure_Rear-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/9e2c056e-a0f8-47ff-87b8-1008abc6de71,U3MR041084_LT. YELLOW_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/9f10735d-5bba-4f53-ab4c-7f12268843a9,U3MR040446_LT. NAVY_On Figure_Rear-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/9f21a039-70a9-4592-ba10-1fe9ab3a588d,U3MR040446_LT. NAVY_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/52704ae3-1434-4dab-a3f4-b42121f7fe9b,U3MR037853_BLACK_On Figure_Rear-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/e202de26-94e1-40b9-a7cf-b5aff2951bc6,U3MR037850_WHITE_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/043ccb67-9fe5-42cd-979c-7b219d27fe46,U3MR037819_YELLOW_Swatch_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/81bcde01-5e11-441b-8e04-988bc012e405,U3MR037628_PALE BLUE_On Figure_Left-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/33a2a426-8290-4b49-8285-98787426fd23,U3MR037642_NAVY_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/bb8350df-fa88-48c7-85d4-b73fd371edc9,U3MR037643_NAVY_On Figure_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/6e76c8cc-506d-4e9a-9a2e-2ef9ce20157b,U3MR035047_LT. RED_Lay Down_Forward-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/082a9674-4572-40c5-80d1-1d39fa659bf9,U3MR037643_NAVY_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
https://cdn.amplifi.pattern.com/f9009284-1aee-44c1-9073-9b7e2f417513,U3MR035045_LT. NAVY_On Figure_Right-facing_Summer 1 Men 2023.tif,forskye
